id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524120736776,-71.02936148859783,Entire home/apt,125,30,14,2018-07-02,0.33,1,144
5506,**$79 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.32980850423623,-71.09559469348262,Entire home/apt,145,3,80,2018-11-18,0.67,6,358
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.329940605699676,-71.093505106791,Entire home/apt,169,3,85,2018-11-25,0.74,6,251
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.2924378866568,-71.13576525374667,Private room,65,3,75,2018-10-23,0.65,1,60
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918691518732,-71.06265110707376,Entire home/apt,99,30,22,2018-12-20,0.41,10,237
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698264322,-71.06201144020237,Entire home/apt,154,30,24,2018-08-15,0.21,10,305
9765,[1294] Grand Studio - South End,25188,Seamless,,South End,42.34259444459376,-71.07942070179357,Entire home/apt,229,2,9,2015-10-24,0.10,62,364
9824,[1273] Fab Studio- close to Newbury,25188,Seamless,,Back Bay,42.34949627476548,-71.08595384961086,Entire home/apt,209,2,23,2018-10-25,0.25,62,360
9827,[1168-1C] Luxury 1 BR High-Rise in Beacon Hill,25188,Seamless,,Downtown,42.352148584714804,-71.06330132541606,Entire home/apt,389,3,8,2014-06-02,0.08,62,365
9855,[1330-1D] Lux 1BR  w/ Den - Fenway,25188,Seamless,,Fenway,42.34337078514998,-71.09870840549256,Entire home/apt,259,4,3,2010-11-04,0.03,62,89
9857,"[1280] Well-Appointed,  2 BR Suite in Back Bay",25188,Seamless,,Back Bay,42.35428957525216,-71.0727722486024,Entire home/apt,342,2,25,2018-10-19,0.28,62,361
9858,[1356-2] 2BR Exec Penthouse Suite,25188,Seamless,,Back Bay,42.344471434571375,-71.08178606219539,Entire home/apt,489,2,1,2015-06-09,0.02,62,364
9859,[1274] 1BR Half Block from Newbury,25188,Seamless,,Back Bay,42.35025967200265,-71.08471827768018,Entire home/apt,179,2,3,2018-12-09,0.03,62,149
9860,[1277] 1BR on Beacon St - Back Bay,25188,Seamless,,Back Bay,42.35411529429635,-71.07441444576361,Entire home/apt,259,2,22,2016-04-10,0.20,62,356
9870,[1293-1] - 1 Bedroom in South End,25188,Seamless,,South End,42.34422661526431,-71.07787818266341,Entire home/apt,279,2,8,2018-10-14,0.10,62,364
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.35840348816456,-71.06185033441072,Entire home/apt,150,30,27,2017-10-25,0.24,10,250
10811,Back Bay Studio on Marlborough St-,38997,Michelle,,Back Bay,42.34972969320107,-71.0879236417328,Entire home/apt,179,1,7,2018-09-30,0.19,9,358
10813,Back Bay Apt Studio-,38997,Michelle,,Back Bay,42.34961258120306,-71.08903821762654,Entire home/apt,179,3,1,2016-05-23,0.03,9,233
10986,Waterfront Furnished Apt,38997,Michelle,,North End,42.36351987255669,-71.05075391788681,Entire home/apt,115,30,2,2016-05-23,0.06,9,364
13589,"[1426-1] Renovated 3 BR, Bi-Level-Back Bay",25188,Seamless,,Back Bay,42.35526319928581,-71.07279310137645,Entire home/apt,389,3,63,2018-12-21,0.59,62,85
13592,"[1279] 2 BR/1.5 BA, Bi-Level Suite",25188,Seamless,,Back Bay,42.35376288379316,-71.07423910713261,Entire home/apt,359,2,20,2017-09-28,0.20,62,0
18711,The Dorset | 3BR 1BA | 1st Floor,71783,Lance,,Dorchester,42.323285711989264,-71.06210286717582,Entire home/apt,126,3,43,2018-11-05,0.41,23,249
21891,[1168-2NH]Lux 2BR - Downtown Boston,25188,Seamless,,Downtown,42.352179362768965,-71.06316023638313,Entire home/apt,289,30,21,2015-06-18,0.22,62,83
22208,[1358] Small Studio in South End,25188,Seamless,,South End,42.34320988189416,-71.07776036316244,Entire home/apt,225,3,4,2015-07-29,0.04,62,363
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34495654198742,-71.07485746185634,Private room,148,2,293,2018-11-16,3.22,5,89
23370,[1250-1NE]Elegant 1BR in Back Bay,25188,Seamless,,Back Bay,42.34609116036233,-71.078577968358,Entire home/apt,289,4,5,2013-04-25,0.05,62,361
23668,[1247-1N]Furnished 1BR At The Vesta,25188,Seamless,,West End,42.36386502353799,-71.06895043843967,Entire home/apt,249,4,0,,,62,364
24240,The Golden Slipper,97821,Gretchen,,North End,42.36366047776044,-71.05023194381583,Entire home/apt,275,2,82,2018-10-25,0.82,1,238
25142,[1246]Beautiful 2BRs - Fenway Area,25188,Seamless,,Fenway,42.3448650479359,-71.10259974303017,Entire home/apt,399,3,9,2015-10-28,0.09,62,89
25418,[1535-1C] Luxury 1BR - West End High Rise,25188,Seamless,,West End,42.3649449797097,-71.06766819894484,Entire home/apt,279,4,4,2015-11-20,0.04,62,89
27141,[1293] Lovely 1 BR in South End,25188,Seamless,,South End,42.34258590158319,-71.07969075832185,Entire home/apt,279,2,4,2013-06-02,0.04,62,364
27546,L'Auberge Espagnole  /room H,119019,Hermina,,Dorchester,42.29834949192866,-71.05910373438712,Private room,55,1,234,2018-09-01,2.22,10,365
27611,One Bedroom Studio Garden Apartment,119381,Gordon And Alexandra,,Jamaica Plain,42.315565116572934,-71.11482700886869,Entire home/apt,175,3,15,2018-09-04,0.26,1,359
28150,[1277/1] 1BR on Beacon St- Back Bay,25188,Seamless,,Back Bay,42.35397478093875,-71.07261173686383,Entire home/apt,184,2,21,2016-06-24,0.24,62,353
29155,[1426-2]NEW 3 BR-Bi-Level  Back Bay,25188,Seamless,,Back Bay,42.354327797179906,-71.073521139528,Entire home/apt,451,3,33,2017-05-29,0.41,62,85
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37833821738547,-71.06662682158364,Entire home/apt,221,2,93,2018-10-21,0.88,3,240
30311,[1543-1D]1BR with Den in Prime Beacon Hill Locale,25188,Seamless,,Beacon Hill,42.36115825039167,-71.06518711164692,Entire home/apt,161,30,0,,,62,364
31796,Big room with two bed/Room A,119019,Hermina,,Dorchester,42.299773412938755,-71.0604758082839,Private room,43,1,412,2018-12-30,3.94,10,350
36885,A Cozy Corner of Boston,159160,Deborah,,Fenway,42.3463347597641,-71.08832312205183,Entire home/apt,165,4,150,2018-10-17,1.45,1,0
38578,[1218-1C]1BR - The Towers at Longfellow Place,25188,Seamless,,West End,42.36408963095722,-71.06565400720207,Entire home/apt,249,30,2,2016-06-19,0.05,62,364
38579,[1218-2NH]2BR Apartment in Boston,25188,Seamless,,Downtown,42.36417484490023,-71.06320412284416,Entire home/apt,349,30,6,2017-05-28,0.07,62,89
39116,Private Room/Perfect Location!,167745,Angela,,Fenway,42.34238757407687,-71.09725113569735,Private room,99,2,71,2018-11-11,0.69,1,0
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.31509938985096,-71.11107897137123,Private room,95,6,72,2018-12-09,0.70,1,279
44205,Elegance at Salem Street Court,128280,Elizabeth,,Charlestown,42.376551110585275,-71.06676905680453,Entire home/apt,184,2,81,2018-10-12,0.80,3,260
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.3740433333595,-71.0611766737255,Entire home/apt,100,3,110,2018-11-17,1.07,1,364
47521,Beautiful Victorian House /C,119019,Hermina,,Dorchester,42.297719717380254,-71.0592404613887,Private room,50,1,326,2019-01-01,3.20,10,355
47722,[1356-1] Lovely 1BR Suites-1/2 Block to Pru Center,25188,Seamless,,Back Bay,42.345991317260754,-71.07985901244271,Private room,479,2,0,,,62,364
47725,[1356-S] Half-Block to Pru Center,25188,Seamless,,Back Bay,42.34594763852984,-71.08194281965525,Entire home/apt,279,2,0,,,62,89
50032,Amazing Design & Detail Throughout!,228845,Jeremy,,Jamaica Plain,42.31591115539129,-71.11275691200883,Entire home/apt,700,3,19,2018-12-26,0.22,1,318
54215,[1246-2C]Lux 2BR - Fenway Area,25188,Seamless,,Fenway,42.343452988176544,-71.10166759098244,Entire home/apt,289,3,5,2015-06-26,0.06,62,84
54487,[1246-1C]Beautiful 1BRs - Fenway Area,25188,Seamless,,Fenway,42.343471201034205,-71.10038331384595,Entire home/apt,219,4,1,2010-10-16,0.01,62,89
54944,Renovated Beacon Hill Studio [1414],25188,Seamless,,Beacon Hill,42.35682271391546,-71.07024444961496,Entire home/apt,185,3,7,2015-11-08,0.11,62,172
