id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,closest_station,stop_id,station,line__001,line__002,ll__001,ll__002,closest_station_distance,closest_station_1km,closest_station_2km,closest_station_3km,closest_station_4km,closest_station_5km,closest_station_10km,x,y
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36524120736776,-71.02936148859783,Entire home/apt,125,30,14,2018-07-02,0.33,1,144,Maverick Station,157,Maverick Station,blue,,42.369189,-71.039627,0.9507715072559342,Maverick Station,Maverick Station,Maverick Station,Maverick Station,Maverick Station,Maverick Station,1487.0,530.0
5506,**$79 Special **   Private! Minutes to center!,8229,Terry,,Roxbury,42.329808504236226,-71.09559469348262,Entire home/apt,145,3,80,2018-11-18,0.67,6,358,Roxbury Crossing Station,145,Roxbury Crossing Station,orange,,42.331428,-71.095613,0.18008597949491734,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,850.0,1210.0
6695,$99 Special!! Home Away! Condo,8229,Terry,,Roxbury,42.329940605699676,-71.093505106791,Entire home/apt,169,3,85,2018-11-25,0.74,6,251,Roxbury Crossing Station,145,Roxbury Crossing Station,orange,,42.331428,-71.095613,0.23953799268908704,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,Roxbury Crossing Station,850.0,1210.0
6976,Mexican Folk Art Haven in Boston Residential Area,16701,Phil,,Roslindale,42.29243788665679,-71.13576525374667,Private room,65,3,75,2018-10-23,0.65,1,60,Forest Hills Station,149,Forest Hills Station,orange,,42.300647,-71.11586899999998,1.8737934798585179,,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,Forest Hills Station,579.0,1483.0
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35918691518732,-71.06265110707376,Entire home/apt,99,30,22,2018-12-20,0.41,10,237,Bowdoin Station,161,Bowdoin Station,blue,,42.36142,-71.062115,0.2521845180181797,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,Bowdoin Station,1168.0,595.0
8792,Large 1 Bed facing State House,26988,Anne,,Downtown,42.35849698264322,-71.06201144020238,Entire home/apt,154,30,24,2018-08-15,0.21,10,305,Park Street Station,108,Park Street Station,red,green,42.356487,-71.062563,0.2280485765943517,Park Street Station,Park Street Station,Park Street Station,Park Street Station,Park Street Station,Park Street Station,1165.0,720.0
9765,[1294] Grand Studio - South End,25188,Seamless,,South End,42.34259444459376,-71.07942070179357,Entire home/apt,229,2,9,2015-10-24,0.1,62,364,Prudential Station,217,Prudential Station,green,,42.345685,-71.081749,0.3933368632988158,Prudential Station,Prudential Station,Prudential Station,Prudential Station,Prudential Station,Prudential Station,830.0,870.0
9824,[1273] Fab Studio- close to Newbury,25188,Seamless,,Back Bay,42.34949627476548,-71.08595384961086,Entire home/apt,209,2,23,2018-10-25,0.25,62,360,Hynes Convention Center,171,Hynes Convention Center,green,,42.347939,-71.087939,0.2379054700630868,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,Hynes Convention Center,797.0,812.0
9827,[1168-1C] Luxury 1 BR High-Rise in Beacon Hill,25188,Seamless,,Downtown,42.3521485847148,-71.06330132541606,Entire home/apt,389,3,8,2014-06-02,0.08,62,365,Chinatown Station,140,Chinatown Station,orange,,42.352501,-71.06260999999998,0.06901397866407122,Chinatown Station,Chinatown Station,Chinatown Station,Chinatown Station,Chinatown Station,Chinatown Station,1135.0,926.0
9855,[1330-1D] Lux 1BR  w/ Den - Fenway,25188,Seamless,,Fenway,42.34337078514997,-71.09870840549256,Entire home/apt,259,4,3,2010-11-04,0.03,62,89,Fenway Station,204,Fenway Station,green,,42.345463,-71.104259,0.5120744148618929,Fenway Station,Fenway Station,Fenway Station,Fenway Station,Fenway Station,Fenway Station,625.0,856.0
