stop_id,stop_count,stop_reviews,station,line__001,line__002,x,y,ll__001,ll__002
101,1,1,Alewife Station,red,,640,196,42.395781,-71.142059
102,1,1,Davis Station,red,,715,269,42.397096,-71.121853
103,1,1,Porter Square Station,red,,785,344,42.388453,-71.119147
104,1,1,Harvard Square Station,red,,862,420,42.373562,-71.118911
105,1,1,Central Square Station,red,,938,495,42.365556,-71.103847
106,1,1,Kendall Station,red,,1012,570.5,42.362575,-71.086209
107,1,1,Charles/MGH Station,red,,1070,630,42.361212,-71.070674
108,1,1,Park Street Station,red,green,1165,720,42.356487,-71.062563
109,1,1,Downtown Crossing Station,red,orange,1250,810,42.355631,-71.06046
110,1,1,South Station,red,,1318,878,42.352396,-71.05531
111,1,1,Broadway Station,red,,1398,1055,42.342785,-71.056898
112,1,1,Andrew Station,red,,1398,1130,42.330159,-71.057456
113,1,1,JFK/UMass Station,red,,1398,1225,42.320895,-71.052177
114,1,1,North Quincy Station,red,,1540,1500,42.275376,-71.029561
115,1,1,Wollaston Station,red,,1600,1556,42.266675,-71.02042
116,1,1,Quincy Center Station,red,,1660,1615,42.251905,-71.005185
117,1,1,Quincy Adams Station,red,,1698,1678,42.233447,-71.007159
118,1,1,Braintree Station,red,,1699,1766,42.207895,-71.002095
119,1,1,Savin Hill Station,red,,1317,1455,42.311343,-71.053293
120,1,1,Fields Corner,red,,1315,1500,42.300139,-71.061705
121,1,1,Shawmut Station,red,,1315,1537,42.293251,-71.065739
122,1,1,Ashmont Station,red,,1315,1573,42.284647,-71.064494
123,1,1,Cedar Grove Station,red,,1315,1644,42.279758,-71.060546
124,1,1,Butler Station,red,,1298,1685,42.272423,-71.062692
125,1,1,Milton Station,red,,1250,1685,42.270359,-71.06767
126,1,1,Central Avenue Station,red,,1203,1685,42.270073,-71.073378
127,1,1,Valley Road Station,red,,1157,1685,42.268326,-71.081574
128,1,1,Capen Street Station,red,,1115,1685,42.267691,-71.087668
129,1,1,Mattapan Station,red,,1062,1685,42.267818,-71.092132
130,1,1,Oak Grove Station,orange,,1295,53,42.43672,-71.071065
131,1,1,Malden Center Station,orange,,1295,108,42.426417,-71.073811
132,1,1,Wellington Station,orange,,1295,172,42.401894,-71.077159
133,1,1,Assembly Station,orange,,1295,223,42.392735,-71.077245
134,1,1,Sullivan Square Station,orange,,1295,285,42.383955,-71.077159
135,1,1,Community College Station,orange,,1295,342,42.373588,-71.069777
136,1,1,North Station,orange,green,1295,483,42.365598,-71.061666
137,1,1,Haymarket Station,orange,green,1295,588,42.362998,-71.058362
138,1,1,State Station,orange,blue,1295,710,42.358939,-71.057804
140,1,1,Chinatown Station,orange,,1135,926,42.352501,-71.06261
141,1,1,Tufts Medical Center Station,orange,,1065,995,42.349615,-71.063941
142,1,1,Back Bay Station,orange,,1010,1053,42.347332,-71.076043
143,1,1,Massachusetts Avenue Station,orange,,955,1105,42.347902,-71.087973
144,1,1,Ruggles Station,orange,,905,1158,42.347902,-71.087973
145,1,1,Roxbury Crossing Station,orange,,850,1210,42.331428,-71.095613
146,1,1,Jackson Square Station,orange,,783,1279,42.323115,-71.099733
147,1,1,Stony Brook Station,orange,,715,1346.5,42.317213,-71.104754
148,1,1,Green Street Station,orange,,647,1415,42.310359,-71.107801
149,1,1,Forest Hills Station,orange,,579,1483,42.300647,-71.115869
150,1,1,Wonderland Station,blue,,1878,138,42.413499,-70.991734
151,1,1,Revere Beach Station,blue,,1810,203,42.407986,-70.992592
152,1,1,Beachmont Station,blue,,1757,260,42.397718,-70.992378
153,1,1,Suffolk Downs Station,blue,,1701,314,42.390492,-70.997227
154,1,1,Orient Heights Station,blue,,1646,368,42.386689,-71.004909
155,1,1,Wood Island Station,blue,,1588,426,42.379651,-71.022976
156,1,1,Airport Station,blue,,1547,469,42.37404,-71.030401
157,1,1,Maverick Station,blue,,1487,530,42.369189,-71.039627
158,1,1,Aquarium,blue,,1376,638,42.359803,-71.051815
161,1,1,Bowdoin Station,blue,,1168,595,42.36142,-71.062115
162,1,1,Lechmere Station,green,,1222,408,42.370838,-71.07662
163,1,1,Science Park Station,green,,1260,445,42.366684,-71.06778
166,1,1,Government Center Station,blue,green,1225,650,42.359713,-71.059212
168,1,1,Boylston Street Station,green,,1083,801,42.352998,-71.064571
169,1,1,Arlington Station,green,,975,812,42.351983,-71.070923
170,1,1,Copley Station,green,,887,812,42.349937,-71.077489
